,0
0,https://www.ipfa.org/membership/faqs/
1,https://www.bloomberg.com/news/articles/2017-08-04/credit-card-rewards-are-playing-harder-to-get
2,https://www.bloomberg.com/news/articles/2017-08-04/credit-card-rewards-are-playing-harder-to-get
3,"https://www.szul.com/premium-quality-14k-white-gold-1-12-carat-tw-diamond-solitaire-earrings-(h-i-color,-si2-si3-clarity)/p_189170"
4,https://www.szul.com/14-carat-tw-diamond-insert-ring-in-10k-white-gold/p_189145
5,https://www.szul.com/12-carat-tw-diamond-insert-ring-in-14k-white-gold/p_189132
6,http://www.politico.com/tipsheets/playbook/2017/08/04/mueller-impanels-grand-jury-trump-are-there-any-russians-here-tonight-ryans-real-tax-reform-timeline-spicer-signs-with-bob-barnett-joe-scarboroughs-plea-to-ivanka-and-jared-221693
7,http://www.lakenewsonline.com/zz/news/20170804/pharma-bro-shkreli-is-convicted-at-securities-fraud-trial
8,http://www.chicagotribune.com/business/ct-martin-shkreli-fraud-trial-20170804-story.html
9,http://www.cbc.ca/news/business/martin-shkreli-trial-verdict-1.4235844
10,http://www.lex18.com/story/36065374/pharma-bro-shkreli-is-convicted-at-securities-fraud-trial
11,http://www.dailymail.co.uk/wires/ap/article-4762136/Pharma-Bro-Shkreli-convicted-securities-fraud-trial.html
12,http://www.pressdemocrat.com/news/7274211-181/pharma-bro-martin-shkreli-convicted
13,http://www.thedailystar.com/news/state/pharma-bro-shkreli-is-convicted-at-securities-fraud-trial/article_b642a7b8-6679-59a8-86c3-c5c1e76f261d.html
14,http://www.wwl.com/articles/ap-news/pharma-bro-shkreli-convicted-securities-fraud-trial
15,https://www.reviewjournal.com/business/pharmo-bro-martin-shkreli-convicted-of-securities-fraud/
16,http://www.wral.com/jury-deliberates-for-5th-day-at-martin-shkreli-s-fraud-trial/16859467/
17,http://www.pressherald.com/2017/08/04/pharma-bro-martin-shkreli-guilty-of-deceiving-investors/
18,http://www.wjcl.com/article/shkreli-convicted-on-3-charges-in-securities-fraud-trial/11478081
19,http://www.forbes.com/sites/billhardekopf/2017/08/04/this-week-in-credit-card-news-uber-to-introduce-credit-card-is-amazon-a-threat-to-card-companies/
20,http://www.local8now.com/content/news/Pharma-Bro-Shkreli-is-convicted-at-securities-fraud-trial-438578323.html
21,http://wric.com/2017/08/04/pharma-bro-shkreli-is-convicted-at-securities-fraud-trial/
22,http://www.postindependent.com/news/pharma-bro-shkreli-is-convicted-at-securities-fraud-trial/
23,http://www.nbcneb.com/content/news/Pharma-Bro-Shkreli-is-convicted-at-securities-fraud-trial-438577043.html
24,http://www.timesfreepress.com/news/national/business/story/2017/aug/04/pharmbro-shkreli-convicted-securities-fraud-t/441997/
25,http://www.fredericksburg.com/business/business-wire/convicted-pharma-bro-has-an-image-problem-lawyer-concedes/article_af43b9e6-db40-5f80-90cf-b4401749011e.html
26,http://www.9and10news.com/story/36065374/convicted-pharma-bro-has-an-image-problem-lawyer-concedes
27,http://www.eastbaytimes.com/2017/08/04/pharmo-bro-shkreli-convicted-in-fraud-trial/
28,http://www.250news.com/canadian-press/?loc=3&id=440dc0bb-5b46-4b1d-bd8a-a7714f779c48
29,http://abc30.com/former-pharmaceutical-ceo-martin-shkreli-convicted-at-securities-fraud-trial/2275889/
30,http://www.wilknewsradio.com/articles/ap-news/pharma-bro-convicted-lawyer-acknowledges-image-issue
31,http://www.kens5.com/news/nation-world/pharma-bro-shkreli-is-convicted-at-securities-fraud-trial/461994601
32,http://www.miamiherald.com/news/nation-world/national/article165399007.html
33,http://www.timescolonist.com/convicted-pharma-bro-has-an-image-problem-lawyer-concedes-1.21629158
34,http://www.breitbart.com/news/pharma-bro-shkreli-is-convicted-at-securities-fraud-trial/
35,http://www.pennlive.com/nation-world/2017/08/pharma_bro_shkreli_is_convicte.html
36,http://www.macon.com/news/nation-world/national/article165399007.html
37,http://www.wacotrib.com/news/ap_nation/pharma-bro-is-convicted-as-lawyer-acknowledges-image-issue/article_5afebe5f-863d-52a8-bf20-2277e2e5c294.html
38,http://www.firstcoastnews.com/news/nation-world/pharma-bro-shkreli-is-convicted-at-securities-fraud-trial/461995177
39,http://www.wokv.com/news/convicted-pharma-bro-has-image-problem-lawyer-concedes/Ex4S2EUuVCb6zSXsvGrlfO/
40,https://www.dailysabah.com/economy/2017/08/04/pharma-bro-shkreli-convicted-in-federal-fraud-trial
