,0
0,http://www.reuters.com/article/2015/05/20/banks-forex-settlement-idUSL5N0YB0F720150520
1,http://www.adelaidenow.com.au/business/breaking-news/ubs-to-pay-us545m-on-forex-case/story-fnn9c0gw-1227361684755?nk=a30acff72f6ecc86d504e698e83443b0
2,http://www.businessspectator.com.au/news/2015/5/20/financial-services/ubs-pay-us545m-forex-case
3,https://au.news.yahoo.com/thewest/business/world/a/28139911/ubs-says-to-settle-fx-probe-pay-545-million-plead-guilty-over-libor/
4,http://english.capital.gr/News.asp?id=2308873
5,http://www.theaustralian.com.au/business/financial-services/huge-fines-loom-for-banks-over-foreign-exchange-rigging-scandal/story-fn91wd6x-1227361107628?nk=cb8901ce8b9aaf4d3961a92553ebcfab
6,http://www.heraldsun.com.au/business/breaking-news/huge-fines-loom-in-forex-scandal/story-fnn9c0hb-1227361133988?nk=963eb91e28ae32601b9cfba7ee31cea5
7,http://www.freemalaysiatoday.com/category/business/2015/05/20/five-big-banks-face-criminal-charges-and-5bn-bill-over-fx-rigging/
8,http://malaysiandigest.com/business/554375-five-major-banks-to-pay-huge-fines-for-manipulating-forex-market.html
9,http://news.yahoo.com/five-big-banks-face-criminal-charges-5-billion-230457375--sector.html
10,http://www.businesstimes.com.sg:80/stocks/us-sp-500-streak-ends-in-choppy-session-dow-at-record
11,http://www.brisbanetimes.com.au/business/banking-and-finance/five-big-banks-face-criminal-charges-and-6b-fine-over-currency-rigging-20150520-gh5hvf.html
12,http://www.businesstimes.com.sg:80/technology/comparison-platform-banks-on-three-ts-to-get-there
13,http://www.moneycontrol.com/news/world-news/5-banks-face-criminal-charges-365-bn-bill-for-fx-rigging_1388112.html
14,http://www.sfgate.com/technology/businessinsider/article/The-CEO-behind-last-year-s-biggest-US-tech-IPO-6274558.php
15,http://www.nasdaq.com/article/five-banks-face-combined-5-billion-bill-over-forex-manipulation--reuters-20150519-01454
16,http://www.businessinsider.in/The-CEO-behind-last-years-biggest-US-tech-IPO-explains-the-benefits-of-going-public-besides-the-money/articleshow/47351055.cms
17,http://zeenews.india.com/business/news/international/five-big-banks-face-criminal-charges-and-5-billion-bill-over-fx-rigging_126631.html
18,http://tradearabia.com/news/BANK_282320.html
19,http://english.capital.gr/News.asp?id=2308908
20,http://www.rtbnews.rtb.gov.bn/index.php?option=com_content&view=article&id=27757:five-big-banks-face-criminal-charges-and-5-billion-bill-over-fx-rigging&catid=36:business&Itemid=68
21,http://www.sify.com/news/five-big-banks-face-criminal-charges-and-5-billion-bill-over-fx-rigging-news-crime-pfufbdcadbjdi.html
22,http://www.analystratings.com/2015/05/19/the-president-of-flextronics-is-exercising-options/
23,http://www.businessinsider.com.au/lending-club-ceo-renaud-laplanche-interview-2015-5
24,http://www.iii.co.uk/news-opinion/reuters/news/243354
25,http://www.moneyweb.co.za/moneyweb-radio/safm-market-update/a-tough-day-for-the-board-of-barclays-africa-tumisang-ndlovu-moneyweb/
26,http://www.4-traders.com/news/Five-Banks-Face-Combined-5-Billion-Bill-Over-Forex-Manipulation-Reuters--20404985/
27,http://www.straitstimes.com:80/news/business/banking/story/five-the-worlds-biggest-banks-face-criminal-charges-and-us5-billion-bill
28,http://www.themalaymailonline.com/money/article/five-major-banks-to-pay-huge-fines-for-manipulating-forex-market
29,https://uk.news.yahoo.com/five-big-banks-face-criminal-charges-5-billion-231157260--finance.html
30,http://www.themalaymailonline.com/money/article/wall-street-stocks-end-mixed-in-choppy-session-after-disappointing-walmart
31,http://www.malaysiandigest.com/business/554356-wall-street-stocks-end-mixed-in-choppy-session-after-disappointing-walmart-earnings.html
