,0
0,https://slate.com/news-and-politics/2019/08/patrick-crusius-el-paso-suspect-shooter-trump-racist-manifesto.html
1,https://www.ivpressonline.com/news/nation/texas-governor-dead-in-el-paso-shopping-complex-shooting/article_4ea02edf-04d8-520e-9cb6-a971bd6700c6.html
2,https://www.kob.com/us-news/police-warn-of-an-active-shooter-at-an-el-paso-texas-mall/5446388/
3,https://www.humboldtjournal.ca/texas-governor-20-dead-in-el-paso-shopping-complex-shooting-1.23905187
4,https://kdvr.com/2019/08/03/texas-governor-20-dead-in-el-paso-shopping-complex-shooting/
5,https://poststar.com/news/national/texas-governor-dead-in-el-paso-shopping-complex-shooting/article_fc80f527-f9e8-56d1-955b-d02c7fb96210.html
6,https://dentonrc.com/ap/national/ap-source-at-least-dead-in-el-paso-texas-shooting/article_241474ff-a95c-586e-b1b0-eb8b25262e22.html
7,https://www.idahostatejournal.com/news/local/dead-dozens-wounded-in-mass-shooting-at-texas-mall/article_bcdf7d82-5e14-51b6-b2ba-2b19b67f2e4c.html
8,https://www.sandiegouniontribune.com/news/nation-world/story/2019-08-03/texas-governor-20-dead-in-el-paso-shopping-complex-shooting
9,https://www.inquisitr.com/5563951/texas-lt-gov-dan-patrick-tells-antifa-stay-out-of-state-despite-shooting-suspects-alleged-far-right-ties/
10,http://www.nwherald.com/2019/08/03/el-paso-shooting-texas-governor-says-20-dead-in-shopping-complex-shooting/aevqs6d/
11,https://www.ktvn.com/story/40873014/texas-governor-20-dead-in-el-paso-shopping-complex-shooting
12,https://www.news-gazette.com/news/texas-governor-dead-dozens-injured-in-shopping-complex-shooting/article_859b1274-309e-5d66-8d02-0960d28d5f9b.html
13,https://www.nytimes.com/2019/08/03/us/el-paso-shooting.html
14,http://www.kten.com/story/40873015/texas-governor-20-dead-in-el-paso-shopping-complex-shooting
15,https://www.expressnews.com/news/texas/article/Police-warn-of-an-active-shooter-at-an-El-Paso-14278333.php
16,https://www.newwestrecord.ca/texas-governor-20-dead-in-el-paso-shopping-centre-shooting-1.23905187
17,https://www.herald-dispatch.com/_recent_news/update-texas-governor-dead-in-el-paso-shopping-complex-shooting/article_c40c8414-b654-11e9-b305-43e120138a19.html
18,https://www.concordmonitor.com/Texas-governor-20-dead-in-El-Paso-shopping-complex-shooting-27477236
19,https://www.gazettextra.com/news/nation_world/texas-governor-dead-in-el-paso-shopping-complex-shooting/article_849ef03b-c47b-5209-aeed-3acca4bdaedf.html
20,https://www.japantimes.co.jp/?post_type=news&p=2102846
21,http://www.newindianexpress.com/world/2019/aug/04/texas-governor-20-dead-in-el-paso-shopping-complex-shooting-2013809.html
22,https://www.hjnews.com/nation/texas-governor-dead-in-el-paso-shopping-complex-shooting/article_3ca42063-5855-5c45-9fe7-d805db879ce0.html
