,0
0,http://www.swissinfo.ch/eng/blasts-heard-at-offices-of-libya-s-oil-corporation---reuters-witness/44385478
1,https://uk.reuters.com/article/uk-libya-security/blasts-heard-at-offices-of-libyas-oil-corporation-reuters-witness-idUKKCN1LQ0S9
2,https://www.jpost.com/Breaking-News/Blasts-heard-at-oil-company-headquarters-in-Libyas-capital-566914
3,https://www.yahoo.com/news/blasts-heard-offices-libyas-oil-corporation-reuters-witness-074836514.html
4,https://www.msn.com/en-gb/news/world/three-persons-attack-headquarters-of-libyan-state-oil-firm-tv/ar-BBN7cJh
5,https://uk.reuters.com/article/uk-libya-security/three-persons-attack-headquarters-of-libyan-state-oil-firm-tv-idUKKCN1LQ0S9
6,https://www.aljazeera.com/news/2018/09/libya-blasts-hit-national-oil-corporation-tripoli-headquarters-180910074911445.html
7,http://english.alarabiya.net/en/News/north-africa/2018/09/10/Blasts-heard-at-offices-of-Libya-s-oil-corporation.html
8,https://www.reuters.com/article/us-libya-security/gunmen-shooting-inside-headquarters-of-libyan-state-oil-firm-employee-idUSKCN1LQ0SH
9,https://uk.reuters.com/article/uk-libya-security/gunmen-attack-headquarters-libyas-oil-corporation-witness-idUKKCN1LQ0S9
10,https://www.reuters.com/article/us-libya-security/gunmen-attack-headquarters-libyas-oil-corporation-witness-idUSKCN1LQ0SH
11,http://www.upstreamonline.com/incoming/1577173/terror-attack-at-libyas-noc
12,https://en.trend.az/world/arab/2949617.html
13,http://news.trust.org/item/20180910084453-hzngq
14,https://www.devdiscourse.com/Article/174612-update-blasts-heard-at-offices-of-libyas-oil-corporation-witness
15,http://www.swissinfo.ch/eng/gunmen-attack-headquarters-libya-s-oil-corporation---witness/44385478
16,https://bloomgist.com/2018/09/10/gunmen-storm-libya-oil-corporation-headquarters/
17,https://af.reuters.com/article/topNews/idAFKCN1LQ1EO-OZATP
18,https://macauhub.com.mo/2018/09/10/pt-sector-mineiro-em-angola-vai-aumentar-contribuicao-para-a-economia-do-pais/
19,https://www.reuters.com/article/uk-libya-security/blasts-heard-at-offices-of-libyas-oil-corporation-reuters-witness-idUSKCN1LQ0SH
20,https://trueindustrynews.com/global-drilling-tools-market-size-forecast-report-till-2023/
21,http://www.xinhuanet.com/english/2018-09/10/c_137458801.htm
22,https://www.zawya.com/mena/en/story/Blasts_heard_at_offices_of_Libyas_oil_corporation__Reuters_witness-TR20180910nL5N1VW1IIX1/
23,http://www.islamicinvitationturkey.com/2018/09/10/libyas-national-oil-company-hqs-comes-under-attack/
24,https://www.mrt.com/business/energy/article/Gunmen-Attack-Libya-Oil-Company-Headquarters-in-13217474.php
25,http://www.xinhuanet.com/english/2018-09/10/c_137458864.htm
26,http://www.china.org.cn/world/Off_the_Wire/2018-09/10/content_63369664.htm
27,https://www.dw.com/en/libya-armed-pair-storm-state-oil-company-in-tripoli/a-45428210
28,https://in.reuters.com/article/libya-security/gunmen-attack-headquarters-of-libyas-state-oil-firm-two-staff-killed-idINKCN1LQ0TR
29,https://www.dailytrust.com.ng/gunmen-attack-libyas-oil-corporation-headquarters-witness.html
