,0
0,https://www.yahoo.com/news/brazilian-wing-candidate-bolsonaro-picks-army-general-running-032015730.html
1,https://www.yahoo.com/news/south-koreas-diehard-trump-supporters-hail-guardian-liberty-010748248.html
2,https://www.yahoo.com/news/5-killed-small-plane-crashes-043031912.html
3,https://www.yahoo.com/news/panel-potential-gop-loss-ohio-175712879.html
4,https://www.yahoo.com/news/rush-trump-favored-beat-lebron-ufc-240or-045153207.html
5,https://www.yahoo.com/news/timeline-venezuelan-president-drone-attack-012847608.html
6,https://www.yahoo.com/news/small-plane-crashes-parking-lot-213022811.html
7,https://www.yahoo.com/news/israeli-druze-rally-against-nation-state-law-201341641.html
8,https://www.yahoo.com/news/former-education-secretary-arne-duncan-153331721.html
9,https://www.yahoo.com/news/former-education-sec-arne-duncan-155531467.html
10,https://www.yahoo.com/news/rush-trump-favored-beat-lebron-044848877.html
11,https://www.yahoo.com/news/us-beats-philippines-12-0-softball-world-championships-133512934.html
12,https://www.yahoo.com/news/eye-opener-small-plane-crash-111559544.html
13,https://www.yahoo.com/news/us-police-11-children-rescued-extremist-men-filthy-014900280.html
14,https://www.yahoo.com/news/eleven-children-us-rescued-apos-050000115.html
15,https://www.yahoo.com/news/best-off-roaders-buy-less-150000186.html
16,https://www.yahoo.com/news/20-arrested-during-no-marxism-052254491.html
17,https://www.yahoo.com/news/danes-investigate-banks-money-laundering-143626723.html
18,https://www.yahoo.com/news/zimbabwe-opposition-fears-growing-post-election-crackdown-154520474.html
19,https://www.yahoo.com/news/slovakia-probe-role-german-vietnamese-132656321.html
20,http://www.vindy.com/news/2018/aug/06/charlotte-rae-from-facts-of-life-dies-at/
21,https://www.yahoo.com/news/russia-summons-greek-ambassador-moscow-over-diplomatic-row-144030679.html
22,https://www.yahoo.com/news/ohio-special-election-tests-lamb-model-democrats-conservative-districts-141538425.html
23,https://www.yahoo.com/news/prince-harry-meghan-markle-perfect-151803620.html
24,https://www.yahoo.com/news/trump-says-open-iran-deal-confirms-sanctions-return-153407333.html
25,https://www.yahoo.com/news/poland-obtains-archive-polish-effort-save-jews-wwii-142838270.html
26,https://www.yahoo.com/news/5-killed-small-plane-crash-152424036.html
27,https://www.yahoo.com/news/dead-baby-found-water-beneath-103700387.html
28,https://www.yahoo.com/news/despite-progress-black-women-paid-110048543.html
29,https://www.yahoo.com/news/baby-boy-dies-tourists-him-141550778.html
30,https://www.yahoo.com/news/saudi-arabia-relocate-students-canada-143608417.html
31,https://www.yahoo.com/news/insurance-business-drives-berkshire-hathaway-inc-brk-b-133359909.html
32,https://www.yahoo.com/news/president-trump-acknowledges-trump-tower-142721688.html
33,https://www.yahoo.com/news/why-antidepressants-threatening-love-songs-143536307.html
34,https://www.yahoo.com/news/pilot-4-passengers-identified-being-122928112.html
35,https://www.yahoo.com/news/master-chef-joel-robuchon-shook-110507336.html
36,https://www.yahoo.com/news/trump-signs-order-reimposing-sanctions-105945976.html
37,https://www.yahoo.com/news/pilot-4-passengers-identified-being-121512362.html
38,https://www.yahoo.com/news/netanyahu-defiant-jewish-nation-law-stirs-protests-001701797.html
39,https://www.yahoo.com/news/u-revives-sanctions-further-damage-irans-economy-151938585.html
40,https://www.yahoo.com/news/eurozone-rescue-fund-pays-final-135938679.html
41,https://www.yahoo.com/news/beyonc-apos-vogue-september-issue-134729326.html
42,https://www.yahoo.com/news/5-dead-small-plane-crashes-141807582.html
43,https://www.yahoo.com/news/seedorf-named-cameroon-coach-kluivert-assistant-142808169.html
44,https://www.yahoo.com/news/classics-sale-1988-lamborghini-lm002-145948785.html
45,https://www.yahoo.com/news/john-oliver-exposes-most-apos-092110879.html
46,https://www.yahoo.com/news/citigroup-inc-c-stock-expectations-way-too-low-110000199.html
47,https://www.yahoo.com/news/union-boss-trumka-gets-feisty-sort-defending-trump-140257276.html
48,https://www.yahoo.com/news/hong-kong-foreign-correspondents-club-stands-firm-against-143123016.html
49,https://www.yahoo.com/news/nra-complains-apos-ve-lost-214600986.html
50,https://www.yahoo.com/news/canada-seeking-clarity-diplomatic-row-saudi-arabia-foreign-123759290.html
51,https://www.yahoo.com/news/damascus-creates-body-repatriate-syria-refugees-115531979.html
52,https://www.yahoo.com/news/romania-reports-500-outbreaks-african-swine-fever-pigs-115350486--finance.html
53,https://www.yahoo.com/news/apple-removes-most-u-conspiracy-theorists-podcasts-itunes-070435048--finance.html
54,https://www.yahoo.com/news/earth-risks-tipping-hothouse-state-study-190909286.html
55,https://www.yahoo.com/news/facebook-twitter-making-world-worse-191220511.html
56,https://www.yahoo.com/news/britney-spears-suffers-senior-moment-181338927.html
57,https://www.yahoo.com/news/taiwans-tsai-seeks-11-bn-defence-budget-china-110609858.html
58,https://www.yahoo.com/news/idaho-agribusiness-lands-gene-editing-160403509.html
59,https://www.yahoo.com/news/may-weapon-fight-dangerous-superbugs-182440746.html
60,https://www.yahoo.com/news/chicago-officials-deliver-remarks-press-181425726.html
61,https://www.yahoo.com/news/president-trump-tweets-total-endorsement-190616483.html
62,https://www.yahoo.com/news/president-trump-changed-story-trump-174139415.html
63,https://www.yahoo.com/news/cancer-study-nuclear-test-expected-finish-2019-194748018.html
64,https://www.yahoo.com/news/ancient-mud-reveals-explanation-sudden-163300700.html
65,https://www.yahoo.com/news/man-apos-apos-amish-uber-160434683.html
66,https://www.yahoo.com/news/brazil-court-bars-venezuelans-crossing-border-200034854.html
67,https://www.yahoo.com/news/perus-ex-leader-fujimori-back-hospital-wirth-heart-194608920.html
68,https://pilotonline.com/inside-business/news/first-person-features/article_60e8f3a8-9667-11e8-8099-0f03d79085aa.html
69,https://www.yahoo.com/news/apos-happens-401-k-leave-094531943.html
70,https://www.yahoo.com/news/baby-boy-dies-being-pulled-015240325.html
71,https://www.yahoo.com/news/hsbc-pre-tax-profit-4-58-10-7-054717585.html
72,https://www.yahoo.com/news/latest-gates-expected-next-witness-against-manafort-190734561--politics.html
73,https://www.yahoo.com/news/santa-ana-plane-crash-five-171937500.html
74,https://www.yahoo.com/news/saudi-arabia-pulling-thousands-students-164214428.html
75,https://www.yahoo.com/news/u-actress-charlotte-rae-star-facts-life-dead-124349546.html
76,https://www.yahoo.com/news/dozens-shot-chicago-burst-weekend-gun-violence-153749067.html
77,https://www.yahoo.com/news/penrith-panthers-fire-head-coach-4-weeks-playoffs-074215872.html
78,https://www.yahoo.com/news/orman-submits-petitions-spot-kansas-governors-race-193946163--election.html
79,https://www.yahoo.com/news/slovenias-prosecutors-charge-15-people-over-graft-hospitals-180535197.html
80,https://www.yahoo.com/news/one-thing-know-sure-princess-195147569.html
81,https://www.yahoo.com/news/n-c-boy-apos-lemonade-203031152.html
82,https://www.yahoo.com/news/rhino-suddenly-gives-birth-while-114648262.html
83,https://www.yahoo.com/news/president-trump-tweets-apos-total-163406291.html
84,https://www.yahoo.com/news/huckabee-touts-president-trumps-ohio-125254546.html
85,https://www.yahoo.com/news/manafort-trial-rick-gates-admits-170243977.html
86,https://www.yahoo.com/news/regeneron-invest-100-million-bluebird-jointly-develop-cancer-113843012--finance.html
