,0
0,http://news-sentinel.com/apps/pbcs.dll/article?AID=/20150303/AP01/303039950/1119/FORTREPORT
1,http://www.france24.com/en/20150304-homeless-man-shot-dead-lapd-french-national-convict-la-police/
2,http://timesleaderonline.com/page/content.detail/id/803303/Official--Homeless-man-killed-by-police-did-time-for-robbery.html?isap=1&nav=5021
3,http://billingsgazette.com/news/national/man-killed-by-los-angeles-police-was-wanted-by-us/article_f8abe18a-6b81-5d01-abd5-01dea7fc9515.html
4,http://poststar.com/news/national/man-killed-by-los-angeles-police-was-wanted-by-us/article_8878dce4-c226-11e4-af97-d3c6511775d7.html
5,http://columbustelegram.com/news/national/man-killed-by-los-angeles-police-was-wanted-by-us/article_fbea7f68-bd4b-5128-827c-68382c65d99a.html
6,http://www.kfbb.com/story/28245051/man-killed-by-los-angeles-police-was-wanted-by-us-marshals
7,http://www.daytondailynews.com/ap/ap/california/3-officers-in-la-skid-row-death-had-training-on-me/nkMg5/
8,http://www.njherald.com/story/28255516/ap-news-in-brief-at-958-pm-est
9,http://www.ajc.com/ap/ap/california/3-officers-in-la-skid-row-death-had-training-on-me/nkMg5/
10,http://abc7chicago.com/news/identity-of-homeless-man-shot-by-lapd-questioned/542409/
11,http://thegardenisland.com/news/national/man-killed-by-los-angeles-police-was-wanted-by-us/article_ba7eb5fb-8aa4-5de2-bfd0-2ed6ff813cc1.html
12,http://www.fayobserver.com/news/nation/homeless-man-killed-in-l-a-police-shooting-served-time/article_d0c1fb8a-c853-5446-8192-695e307a035b.html
13,http://www.kltv.com/story/28245051/official-homeless-man-killed-by-police-did-time-for-robbery
14,http://www.ibtimes.co.uk/protestors-march-skid-row-lapd-hq-protest-over-shooting-homeless-man-1490338
15,http://www.bostonherald.com/news_opinion/national/west/2015/03/official_homeless_man_killed_by_police_did_time_for_robbery
16,http://www.morningjournalnews.com/page/content.detail/id/803515/US-marshals-say-man-killed-by-Los-Angeles-police-was-wanted.html?isap=1&nav=5021
17,http://www.aol.com/article/2015/03/03/man-killed-by-los-angeles-police-was-wanted-by-us-marshals/21149283/
18,http://www.washingtontimes.com/news/2015/mar/4/3-officers-in-la-skid-row-death-had-training-on-me/
19,http://www.myfoxorlando.com/story/28245051/man-killed-by-los-angeles-police-was-wanted-by-us-marshals
20,http://news.yahoo.com/man-killed-los-angeles-police-wanted-us-marshals-053323458.html
21,http://www.kirotv.com/ap/ap/top-news/3-officers-in-la-skid-row-death-had-training-on-me/nkMg5/
22,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=11411811
23,http://www.sundayworld.com/news/crime-world/police-victim-jailed-for-robbery
24,http://www.miamiherald.com/news/nation-world/national/article12387785.html
25,http://www.dothaneagle.com/news/ap/national/man-killed-by-los-angeles-police-was-wanted-by-us/article_47d45b30-e899-57ec-9276-79cfedeec0cd.html
26,http://bismarcktribune.com/news/national/man-killed-by-los-angeles-police-was-wanted-by-us/article_2fe09523-e9eb-529d-8bb1-3aa791415440.html
27,http://abc7news.com/news/man-shot-by-lapd-stole-french-mans-identity-authorities/542409/
28,http://www.federalnewsradio.com/615/3810915/Man-killed-by-Los-Angeles-police-was-wanted-by-US-marshals
29,http://www.castanet.net/edition/news-story-134260-5-.htm
30,http://www.myfoxal.com/story/28245052/man-killed-by-los-angeles-police-was-wanted-by-us-marshals
31,http://medicinehatnews.com/news/world-news/2015/03/03/officials-homeless-man-killed-by-la-police-served-time-for-robbery-stole-identity/
32,http://www.tampabay.com/news/nation/man-killed-by-los-angeles-police-was-wanted-by-us-marshals/2219934
33,http://www.WLOX.com/story/28245052/us-marshals-say-man-killed-by-los-angeles-police-was-wanted
34,http://www.newstalk980.com/content/man-shot-los-angeles-police-used-assumed-french-identity
35,http://news.yahoo.com/details-questions-emerge-homeless-man-shot-la-police-080651470.html
36,http://www.startribune.com/politics/national/294963911.html
37,http://www.denverpost.com/nationworld/ci_27637540/slain-homeless-man-los-angeles-did-jail-time
38,http://mynorthwest.com/15/2722011/Details-questions-emerge-on-homeless-man-shot-by-LA-police
39,http://www.utsandiego.com/news/2015/mar/04/details-questions-emerge-on-homeless-man-shot-by/
40,https://in.news.yahoo.com/details-questions-emerge-homeless-man-shot-la-police-080651470.html
41,http://kdhnews.com/news/nation/us-marshals-say-man-killed-by-los-angeles-police-was/article_1d22199d-f0a5-5f66-b801-15b019564e09.html
42,http://www.actionnewsnow.com/news/us-marshals-say-man-killed-by-los-angeles-police-was-wanted/
43,http://www.ajc.com/ap/ap/top-news/3-officers-in-la-skid-row-death-had-training-on-me/nkMg5/
44,http://thegardenisland.com/news/national/ap-news-in-brief-at-p-m-est/article_edc14dc7-e91e-5a4d-b55f-e2dc3c14db04.html
45,http://newsok.com/man-killed-by-los-angeles-police-was-wanted-by-us-marshals/article/feed/805279
46,http://www.nassaunewslive.com/us-marshals-say-man-killed-by-los-angeles-police-was-wanted/548087
47,http://abcnews.go.com/US/lapd-shooting-identity-homeless-victim-questioned/story?id=29361808
48,http://www.wsbtv.com/ap/ap/top-news/3-officers-in-la-skid-row-death-had-training-on-me/nkMg5/
49,http://abc30.com/news/lapd-shooting-name-of-the-homeless-victim-released/542409/
50,http://www.twincities.com/nation/ci_27629974/3-officers-la-skid-row-death-had-training
51,http://www.komonews.com/news/national/Man-killed-by-Los-Angeles-police-was-wanted-by-US-marshals-294947111.html
52,http://www.idahopress.com/ap_news/us/man-killed-by-los-angeles-police-was-wanted-by-us/article_5e29e54f-a2e6-5e73-b269-3f7c55d79777.html
53,http://tucson.com/news/national/man-killed-by-los-angeles-police-was-wanted-by-us/article_f96baa47-66ab-5f5b-8bad-b47407b33e15.html
54,http://idahostatejournal.com/news/national/man-killed-by-los-angeles-police-was-wanted-by-us/article_c8285d81-34e1-5ea9-8326-9c858a9d3fe1.html
55,http://www.wsoctv.com/ap/ap/top-news/3-officers-in-la-skid-row-death-had-training-on-me/nkMg5/
56,http://www.lodinews.com/ap/state/article_d29d03e6-c21b-11e4-9520-10604b9f0ff9.html
57,http://www.roanoke.com/news/nation/wire/man-killed-by-los-angeles-police-was-wanted-by-us/article_b75daf6f-be2b-5bc6-9280-b62a86fd78fc.html
58,http://www.valdostadailytimes.com/news/national_international/man-killed-by-los-angeles-police-was-wanted-by-us/article_abd1f74c-c21d-11e4-a27f-f75036a9293f.html
59,http://www.saukvalley.com/2015/03/04/official-homeless-man-killed-by-police-did-14-years-for-robbery/aqncu6f/
60,http://www.wral.com/3-officers-in-la-skid-row-death-had-training-on-mentally-ill/14486471/
61,http://www.staradvertiser.com/news/breaking/20150303_us_marshals_say_man_killed_by_los_angeles_police_was_wanted.html?id=294932771
62,http://thesouthern.com/news/national/us-marshals-say-man-killed-by-los-angeles-police-was/article_6f390432-70dc-5d29-b32e-1fca0f04ddb5.html
63,http://mynorthwest.com/789/2721279/Man-shot-by-Los-Angeles-police-used-assumed-French-identity
64,http://www.pasadenastarnews.com/general-news/20150303/skid-row-man-killed-by-lapd-was-wanted-us-marshals-say
65,http://www.vcstar.com/news/national/3-officers-in-skid-row-killing-had-training-on-mentally-ill_97220427_
66,http://www.stamfordadvocate.com/news/us/article/3-officers-in-LA-Skid-Row-death-had-training-on-6111506.php
67,http://www.abqjournal.com/549466/news/man-killed-by-los-angeles-police-was-wanted-by-u-s-marshals.html
68,http://www.statesman.com/ap/ap/top-news/3-officers-in-la-skid-row-death-had-training-on-me/nkMg5/
69,http://www.newsday.com/news/nation/charley-saturmin-robinet-man-killed-by-los-angeles-cops-was-wanted-by-u-s-marshals-officials-say-1.10008434
70,http://www.cbsnews.com/news/homeless-man-killed-by-lapd-on-skid-row-was-wanted-stole-identity/
71,http://mynorthwest.com/15/2721279/Man-killed-by-Los-Angeles-police-was-wanted-by-US-marshals
72,http://www.thonline.com/news/article_6d35e3de-c20b-11e4-aef3-6bd68fac5161.html
