,0
0,https://www.desmogblog.com/2018/06/22/oil-companies-and-lobbyists-say-they-re-ready-solve-climate-change-check-fine-print
1,https://www.thepeninsulaqatar.com/article/23/06/2018/$24bn-worth-of-goods-traded-between-Qatar-and-US-in-five-years
2,https://thepeninsulaqatar.com/article/23/06/2018/$24bn-worth-of-goods-traded-between-Qatar-and-US-in-five-years
3,https://wtop.com/canada/2018/06/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/
4,http://www.startribune.com/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/486356391/
5,http://www.sacbee.com/news/business/article213724444.html
6,http://www.miamiherald.com/news/business/article213724444.html
7,https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12076704
8,http://www.omaha.com/news/nation/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/article_3392d3a0-60ff-54cf-afc5-9c46238d9781.html
9,https://host.madison.com/news/national/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/article_d555617a-0768-5cae-98ea-2233eecdc19c.html
10,https://www.fox23.com/news/oklahoma/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/775669547
11,http://www.newschannel6now.com/story/38492911/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery
12,http://www.dailyjournal.net/2018/06/23/us-oil-train-spill-iowa/
13,http://www.wmdt.com/news/national/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/757595789
14,http://mynorthwest.com/1027833/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/
15,https://poststar.com/news/national/the-latest-iowa-gov-to-visit-site-of-derailment-oil/article_16d495a0-b856-5ba1-8119-030ce86044a4.html
16,http://www.oleantimesherald.com/business/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/article_452f84fd-ce49-55dd-8b0d-e192f8516dd8.html
17,http://www.oleantimesherald.com/news/nation/the-latest-iowa-gov-to-visit-site-of-derailment-oil/article_6ec15329-283d-5303-bdb8-456670f6b554.html
18,https://www.seattletimes.com/business/apxcause-of-iowa-derailment-oil-spill-amount-still-a-mystery/
19,http://www.thecourierexpress.com/business/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/article_3bfc7482-40bf-5334-862d-b42e4aa90fa8.html
20,http://business.financialpost.com/pmn/business-pmn/the-latest-iowa-gov-to-visit-site-of-derailment-oil-spill
21,http://www.thecourierexpress.com/news/nation/the-latest-iowa-gov-to-visit-site-of-derailment-oil/article_54316c53-2ab2-5502-a23b-93b1304894d6.html
22,http://www.tbo.com/ap/national/the-latest-iowa-gov-to-visit-site-of-derailment-oil-spill-ap_national3e8cb7349fa94cfbbf8f5a5d48a6c6e9
23,https://www.ourmidland.com/news/article/The-Latest-Iowa-gov-to-visit-site-of-derailment-13020307.php
24,http://www.tribtown.com/2018/06/23/us-oil-train-spill-iowa-the-latest/
25,https://www.stltoday.com/news/national/the-latest-iowa-gov-to-visit-site-of-derailment-oil/article_3db2b7b9-0946-567e-ada7-b7e256f9c01a.html
26,https://www.michigansthumb.com/news/article/Cause-of-Iowa-derailment-oil-spill-amount-still-13020232.php
27,https://www.washingtonpost.com/business/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/2018/06/23/b81bbc58-7710-11e8-bda1-18e53a448a14_story.html
28,http://www.ledger-enquirer.com/news/business/article213728214.html
29,http://www.kswo.com/story/38493101/the-latest-iowa-gov-to-visit-site-of-derailment-oil-spill
30,https://abcnews.go.com/International/wireStory/latest-iowa-gov-visit-site-derailment-oil-spill-56111725
31,http://www.bellinghamherald.com/news/business/national-business/article213728214.html
32,http://www.dailymail.co.uk/wires/ap/article-5878157/The-Latest-Iowa-gov-visit-site-derailment-oil-spill.html
33,http://www.kcci.com/article/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/21878834
34,https://www.sacbee.com/news/business/article213724444.html
35,https://www.daytondailynews.com/news/national/cause-iowa-derailment-oil-spill-amount-still-under-wraps/6n4VRHK5CYMMCGJrqKmAaI/
36,http://www.ksby.com/story/38493270/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps
37,https://www.seattlepi.com/news/article/Cause-of-Iowa-derailment-oil-spill-amount-still-13020232.php
38,http://www.kveo.com/news/national/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/1258665333
39,https://www.mystateline.com/news/national/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/1258663462
40,http://siouxlandnews.com/news/local/gov-reynolds-tours-site-of-oil-train-derailment-in-doon-ia
41,https://wcfcourier.com/news/state-and-regional/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/article_1372511e-82b5-569f-9c04-de774b083016.html
42,https://www.binghamtonhomepage.com/news/national/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/1258662512
43,http://www.ledger-enquirer.com/news/business/article213724444.html
44,https://www.seattletimes.com/business/apxcause-of-iowa-derailment-oil-spill-amount-still-under-wraps/
45,http://www.omaha.com/news/nation/bnsf-estimated-gallons-of-oil-spilled-in-derailment/article_3392d3a0-60ff-54cf-afc5-9c46238d9781.html
46,https://www.theolympian.com/news/business/article213724444.html
47,https://www.rocketcitynow.com/news/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/1258667428
48,https://www.islandpacket.com/news/business/article213728214.html
49,http://www.modbee.com/news/business/article213724444.html
50,https://www.stamfordadvocate.com/news/article/The-Latest-Iowa-gov-to-visit-site-of-derailment-13020307.php
51,http://gazette.com/the-latest-iowa-gov-to-visit-site-of-derailment-oil-spill/article/feed/574535
52,http://www.tampabay.com/the-latest-estimated--gallons-of-oil-spilled-ap_national3e8cb7349fa94cfbbf8f5a5d48a6c6e9
53,http://gazette.com/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/article/feed/574529
54,http://www.kveo.com/news/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/1258665333
55,http://www.theolympian.com/news/business/article213728214.html
56,http://www.ketv.com/article/iowa-gov-kim-reynolds-tours-area-impacted-by-train-derailment-flooding/21880683
57,http://www.kristv.com/story/38493270/bnsf-estimated-230000-gallons-of-oil-spilled-in-derailment
58,https://www.pahomepage.com/news/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/1258664828
59,https://www.thestate.com/news/business/national-business/article213724444.html
60,http://www.charlotteobserver.com/news/business/national-business/article213728214.html
61,https://www.thestate.com/news/business/national-business/article213728214.html
62,https://www.washingtonpost.com/business/the-latest-iowa-gov-to-visit-site-of-derailment-oil-spill/2018/06/23/1c8ee19a-7718-11e8-bda1-18e53a448a14_story.html
63,http://www.ksfy.com/content/news/Iowa-Governor-visits-site-of-flood-derailment--oil-spill-486360401.html
64,https://www.ksn.com/news/national-world/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/1258447332
65,https://www.voiceofalexandria.com/news/national_business_news/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/article_fe47a5a2-da04-59a5-8746-0c64977f1bd1.html
66,https://www.washingtonpost.com/business/the-latest-estimated-230000-gallons-of-oil-spilled/2018/06/23/d6e53c26-772a-11e8-bda1-18e53a448a14_story.html
67,http://www.kten.com/story/38493101/the-latest-iowa-gov-to-visit-site-of-derailment-oil-spill
68,https://www.washingtonpost.com/business/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/2018/06/23/5079f81e-7722-11e8-bda1-18e53a448a14_story.html
69,https://www.ctvnews.ca/world/train-from-alberta-derails-spills-oil-in-iowa-1.3986242
70,http://calgaryherald.com/news/national/estimated-230000-gallons-of-oil-spilled-after-alberta-train-derails-in-iowa/wcm/70a5ebf0-0c6f-4288-858b-bfaec9103fdd
71,http://www.dailymail.co.uk/wires/ap/article-5878037/Cause-Iowa-derailment-oil-spill-mystery.html
72,https://abcnews.go.com/International/wireStory/iowa-derailment-oil-spill-amount-mystery-56111111
73,http://www.record-eagle.com/nation_world/cause-of-iowa-derailment-oil-spill-amount-still-a-mystery/article_f3e0bf05-715b-58e2-a34e-41fe23b7f7c8.html
74,https://kfor.com/2018/06/23/estimated-230000-gallons-of-oil-coming-to-oklahoma-spilled-in-iowa-after-derailment/
75,http://www.therepublic.com/2018/06/23/us-oil-train-spill-iowa/
76,https://www.thedailytimes.com/business/bnsf-estimated-gallons-of-oil-spilled-in-derailment/article_2b2dc389-d7f9-5c15-9e96-df4795dc69bf.html
77,http://www.tampabay.com/bnsf-estimated--gallons-of-oil-spilled-in-derailment-ap_national852170d278a6451d8ed1bc14a1eed8ce
78,http://www.khq.com/story/38493598/estimated-230000-gallons-of-oil-spilled-in-iowa-train-derailment
79,http://www.mytwintiers.com/news/cause-of-iowa-derailment-oil-spill-amount-still-under-wraps/1258665143
80,http://www.telegraphherald.com/news/iowa-illinois-wisconsin/article_740a7640-7714-11e8-85b8-931fe7a3942f.html
