,0
0,http://whbl.com/news/articles/2017/may/26/colorado-oil-tank-fire-kills-one-injures-three/
1,http://whbl.com/news/articles/2017/may/26/colorado-oil-tank-fire-kills-one-injures-three/
2,http://gonefishingfish.com/2017/05/26/worker-killed-3-hurt-in-colorado-oil-tank-fire/
3,http://gonefishingfish.com/2017/05/26/worker-killed-3-hurt-in-colorado-oil-tank-fire/
4,http://www.coloradoindependent.com/165636/tank-explosion-mead-anadarko-firestone
5,http://www.coloradoindependent.com/165636/tank-explosion-mead-anadarko-firestone
6,http://www.reuters.com/article/us-colorado-fire-idUSKBN18M0DY
7,http://www.reuters.com/article/us-colorado-fire-idUSKBN18M0DY
8,http://markets.businessinsider.com/news/stocks/r-colorado-oil-tank-fire-kills-one-injures-three-2017-5-1002043993
9,http://markets.businessinsider.com/news/stocks/r-colorado-oil-tank-fire-kills-one-injures-three-2017-5-1002043993
10,http://www.dailycamera.com/news/boulder/ci_31014497/pockets-flammable-methane-gas-found-near-firestone-house
11,http://www.dailycamera.com/news/ci_31014497/pockets-flammable-methane-gas-found-near-firestone-house
12,http://www.coloradodaily.com/latest-stories/ci_31014497/pockets-flammable-methane-gas-found-near-firestone-house
13,http://www.fiscalstandard.com/2017/05/25/brokers-issue-new-targets-on-newfield-exploration-company-nysenfx-2/
14,http://www.coloradoan.com/story/news/2017/05/26/weld-county-says-2-deadly-gas-explosions-unrelated/348522001/
15,http://www.coloradoan.com/story/news/2017/05/26/weld-county-says-2-deadly-gas-explosions-unrelated/348522001/
16,https://www.abqjournal.com/1009200/weld-county-says-2-deadly-gas-explosions-unrelated.html
17,https://www.abqjournal.com/1009200/weld-county-says-2-deadly-gas-explosions-unrelated.html
18,http://www.koaa.com/story/35524890/weld-county-says-2-deadly-gas-explosions-unrelated
19,http://www.koaa.com/story/35524890/weld-county-says-2-deadly-gas-explosions-unrelated
20,http://www.sunherald.com/news/business/article152845079.html
21,http://www.sunherald.com/news/business/article152845079.html
22,http://www.sunherald.com/news/business/article152845079.html
23,http://www.sunherald.com/news/business/article152845079.html
24,http://www.fredericksburg.com/business/business-wire/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast/article_62c8fdae-b761-5a48-be8c-32ba02b82a6d.html
25,http://www.fredericksburg.com/business/business-wire/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast/article_62c8fdae-b761-5a48-be8c-32ba02b82a6d.html
26,http://www.fredericksburg.com/business/business-wire/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast/article_62c8fdae-b761-5a48-be8c-32ba02b82a6d.html
27,http://www.fredericksburg.com/business/business-wire/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast/article_62c8fdae-b761-5a48-be8c-32ba02b82a6d.html
28,http://www.foxbusiness.com/markets/2017/05/26/latest-colorado-lawmakers-urge-probe-fatal-oil-blast.html
29,http://www.foxbusiness.com/markets/2017/05/26/latest-colorado-lawmakers-urge-probe-fatal-oil-blast.html
30,http://www.foxbusiness.com/markets/2017/05/26/latest-colorado-lawmakers-urge-probe-fatal-oil-blast.html
31,http://www.foxbusiness.com/markets/2017/05/26/latest-colorado-lawmakers-urge-probe-fatal-oil-blast.html
32,http://www.dailymail.co.uk/wires/ap/article-4546154/The-Latest-Colorado-lawmakers-urge-probe-fatal-oil-blast.html
33,http://www.dailymail.co.uk/wires/ap/article-4546154/The-Latest-Colorado-lawmakers-urge-probe-fatal-oil-blast.html
34,http://www.dailymail.co.uk/wires/ap/article-4546154/The-Latest-Colorado-lawmakers-urge-probe-fatal-oil-blast.html
35,http://www.dailymail.co.uk/wires/ap/article-4546154/The-Latest-Colorado-lawmakers-urge-probe-fatal-oil-blast.html
36,http://www.denverpost.com/2017/05/26/leaking-gas-well-sterling-evacuations/
37,http://www.greensboro.com/ap/us_world/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast/article_41e20473-278f-500b-b038-986c70da7c31.html
38,http://www.greensboro.com/ap/us_world/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast/article_41e20473-278f-500b-b038-986c70da7c31.html
39,http://www.greensboro.com/ap/us_world/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast/article_41e20473-278f-500b-b038-986c70da7c31.html
40,http://www.greensboro.com/ap/us_world/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast/article_41e20473-278f-500b-b038-986c70da7c31.html
41,http://fuelfix.com/blog/2017/05/26/fire-at-anadarko-oil-tank-site-kills-worker-injures-three-others/
42,http://fuelfix.com/blog/2017/05/26/fire-at-anadarko-oil-tank-site-kills-worker-injures-three-others/
43,http://www.koaa.com/story/35526791/the-latest-oil-company-says-fiery-well-wasnt-in-production
44,http://www.koaa.com/story/35526791/the-latest-oil-company-says-fiery-well-wasnt-in-production
45,http://www.koaa.com/story/35526791/the-latest-oil-company-says-fiery-well-wasnt-in-production
46,http://www.koaa.com/story/35526791/the-latest-oil-company-says-fiery-well-wasnt-in-production
47,http://www.newstimes.com/news/us/article/The-Latest-Oil-company-says-fiery-well-wasn-t-in-11176149.php
48,http://www.newstimes.com/news/us/article/The-Latest-Oil-company-says-fiery-well-wasn-t-in-11176149.php
49,http://www.newstimes.com/news/us/article/The-Latest-Oil-company-says-fiery-well-wasn-t-in-11176149.php
50,http://www.newstimes.com/news/us/article/The-Latest-Oil-company-says-fiery-well-wasn-t-in-11176149.php
51,http://www.lmtonline.com/news/article/The-Latest-Oil-company-says-fiery-well-wasn-t-in-11176149.php
52,http://www.lmtonline.com/news/article/The-Latest-Oil-company-says-fiery-well-wasn-t-in-11176149.php
53,http://www.lmtonline.com/news/article/The-Latest-Oil-company-says-fiery-well-wasn-t-in-11176149.php
54,http://www.hcn.org/articles/week-in-review-may-26
55,http://www.hcn.org/articles/week-in-review-may-26
56,http://www.islandpacket.com/news/business/article152845079.html
57,http://www.islandpacket.com/news/business/article152845079.html
58,http://www.islandpacket.com/news/business/article152845079.html
59,http://www.4-traders.com/WTI-2355639/news/Anadarko-Petroleum-Colorado-Operations-Under-More-Scrutiny-After-Second-Deadly-Blast-24498049/
60,http://www.4-traders.com/WTI-2355639/news/Anadarko-Petroleum-Colorado-Operations-Under-More-Scrutiny-After-Second-Deadly-Blast-24498049/
61,http://www.4-traders.com/WTI-2355639/news/Anadarko-Petroleum-Colorado-Operations-Under-More-Scrutiny-After-Second-Deadly-Blast-24498049/
62,http://www.wtol.com/story/35527743/colorado-oil-tank-blast-kills-worker-spurs-safety-questions
63,http://www.wtol.com/story/35527743/colorado-oil-tank-blast-kills-worker-spurs-safety-questions
64,http://www.bozemandailychronicle.com/ap_news/us/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/article_90b1954f-b532-561d-b44c-334c105287e1.html
65,http://www.bozemandailychronicle.com/ap_news/us/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/article_90b1954f-b532-561d-b44c-334c105287e1.html
66,http://www.newmilfordspectrum.com/news/us/article/Colorado-oil-tank-blast-kills-worker-spurs-11176490.php
67,http://www.newmilfordspectrum.com/news/us/article/Colorado-oil-tank-blast-kills-worker-spurs-11176490.php
68,http://www.chieftain.com/business/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/article_8216d6a6-0a5b-5c0c-a86d-161260142f63.html
69,http://www.chieftain.com/business/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/article_8216d6a6-0a5b-5c0c-a86d-161260142f63.html
70,http://www.wgmd.com/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/
71,http://www.wgmd.com/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/
72,http://www.coloradoindependent.com/165647/homefront-mead-explosion
73,http://www.seattletimes.com/business/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/
74,http://www.seattletimes.com/business/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/
75,http://www.wsbradio.com/business/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/N6V7v3Yljmn9AQ3sJQXlCO/
76,http://www.wsbradio.com/business/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/N6V7v3Yljmn9AQ3sJQXlCO/
77,http://www.roanoke.com/news/virginia/wire/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/article_84289e1c-a575-585c-8f8f-2a0ab09ce1a1.html
78,http://www.roanoke.com/news/virginia/wire/colorado-oil-tank-blast-kills-worker-spurs-safety-questions/article_84289e1c-a575-585c-8f8f-2a0ab09ce1a1.html
79,http://www.brandonsun.com/business/breaking-news/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast-424646473.html
80,http://www.brandonsun.com/business/breaking-news/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast-424646473.html
81,http://www.brandonsun.com/business/breaking-news/the-latest-colorado-lawmakers-urge-probe-of-fatal-oil-blast-424646473.html
