,0
0,http://www.ctvnews.ca/politics/khadr-receives-10-5m-settlement-from-government-1.3492712
1,http://www.680news.com/2017/07/06/government-has-already-paid-omar-khadr-10-5m-source/
2,http://www.wisconsingazette.com/lifestyle/wellness/obamacare-inspires-unlikely-political-action-in-california-s-red-region/article_bbc3074c-ca39-572d-9684-aba3069eb1b6.html
3,http://www.chroniclet.com/national-news/2017/07/07/Ex-Gitmo-inmate-receives-multimillion-payment-from-Canada.html
4,http://www.680news.com/2017/07/06/government-has-already-paid-omar-khadr-10-5m-source-2/
5,http://khn.org/news/obamacare-inspires-unlikely-political-action-in-californias-red-region/
6,http://www.handyshippingguide.com/shipping-news/appointments-this-week-in-the-supply-chain-industries_8180
7,http://www.brandonsun.com/national/breaking-news/government-has-already-paid-omar-khadr-105m-source-433030873.html
8,http://www.timescolonist.com/government-has-already-paid-omar-khadr-10-5m-source-1.20965911
9,http://accesswdun.com/article/2017/7/556426
10,http://www.apnewsarchive.com/2017/A-Canadian-official-says-a-former-Guantanamo-Bay-prisoner-who-pleaded-guilty-to-killing-a-U-S-soldier-in-Afghanistan-has-received-a-multimillion-dollar-payment-from-Canada-after-a-court/id-ed6d222ce9754647bdd8635d0820eafe
11,http://www.news-medical.net/news/20170707/Obamacare-inspires-unlikely-political-action-in-Californiae28099s-red-region.aspx
12,http://www.wral.com/ex-gitmo-has-received-multimillion-payment-from-canada/16805914/
13,http://www.macleans.ca/news/government-already-paid-khadr-10-5-million/
14,http://exceptionmag.com/108111/obamacare-inspires-unlikely-political-action-in-californias-red-region/
15,http://toronto.ctvnews.ca/government-has-already-paid-omar-khadr-10-5m-to-settle-lawsuit-cp-1.3493016
16,http://hosted2.ap.org/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5/Article_2017-07-07-CN--Canada-Guantanamo%20Payout/id-915a2cca57c6444bbb9a5594c746fdd4
17,http://www.foxnews.com/world/2017/07/07/ex-gitmo-inmate-receives-multimillion-payment-from-canada.html
18,http://www.wsiltv.com/story/35830287/ex-gitmo-inmate-receives-multimillion-payment-from-canada
19,http://www.comoxvalleyecho.com/national/433035003.html
20,http://www.expressnews.com/news/crime/article/Canada-official-Ex-Gitmo-prisoner-Omar-Khadr-has-11271632.php
21,http://www.fox30jax.com/news/canada-official-exgitmo-prisoner-omar-khadr-has-received-multimillion-payment-from-govt/552092660
22,http://www.scpr.org/news/2017/07/06/73575/in-a-conservative-corner-of-california-a-push-to-p/
23,https://www.washingtonpost.com/world/the_americas/ex-gitmo-has-received-multimillion-payment-from-canada/2017/07/06/c953e918-62c7-11e7-80a2-8c226031ac3f_story.html
24,http://chippewa.com/news/world/ex-gitmo-has-received-multimillion-payment-from-canada/article_9e4199e4-ef19-5413-a3c0-9829a02bc805.html
25,https://reportca.net/2017/07/canadian-government-has-paid-omar-khadr-105m-source/
26,http://globalnews.ca/news/3581350/canadian-government-has-paid-omar-khadr-10-5m-source/
27,http://nationalpost.com/news/politics/government-has-already-paid-omar-khadr-10-5m-source/wcm/a3f3e172-d72a-4bf4-8cfc-fb6ce3bd163c
28,https://www.thestar.com/news/canada/2017/07/07/omar-khadr-receives-105-million-settlement-from-ottawa.html
29,http://nationalpost.com/pmn/news-pmn/canada-news-pmn/government-has-already-paid-omar-khadr-10-5m-source/wcm/a3f3e172-d72a-4bf4-8cfc-fb6ce3bd163c
30,http://www.1310news.com/2017/07/07/federal-government-already-paid-omar-khadr-10-5m-source/
31,https://microgridknowledge.com/permit-energy-storage/
32,http://www.pharostribune.com/news/nation_world/article_f10041f9-dc2d-517c-ac60-e6ceefa1ef60.html
33,http://www.kokomotribune.com/news/nation_world_news/ex-gitmo-inmate-receives-multimillion-payment-from-canada/article_8d8a2412-630b-11e7-9c81-a3f05ec25259.html
34,http://www.sltrib.com/home/5482703-155/ex-gitmo-prisoner-receives-multimillion-dollar-payment-from
35,http://microgridknowledge.com/permit-energy-storage/
36,http://www.citynews.ca/2017/07/06/government-has-already-paid-omar-khadr-10-5m-source/
37,http://www.nptelegraph.com/news/world_news/ex-gitmo-inmate-gets-multimillion-dollar-payment-from-canada/article_554e9fb3-c550-5892-9db5-c5fc4affba21.html
38,http://ipolitics.ca/2017/07/07/government-has-already-paid-omar-khadr-10-5m-source-says/
39,http://www.theherald-news.com/lists/2017/07/06/ee9a6e6f2eae40a4b2274740b98c8f84/index.xml
40,http://www.chieftain.com/news/ex-gitmo-inmate-gets-multimillion-dollar-payment-from-canada/article_5dcbaeb7-7177-579e-8674-31087b40a052.html
41,http://www.montrealgazette.com/news/national/terse+statement+liberals+formally+apologize+omar+khadr/13602471/story.html
42,http://www.nbcbayarea.com/news/national-international/Ex-Gitmo-Inmate-Receives-Multimillion-Payment-From-Canada-433053763.html
43,http://www.ksby.com/story/35830287/ex-gitmo-inmate-gets-apology-millions-from-canada
44,http://ckom.com/article/1683296/federal-government-apologizes-former-guantanamo-inmate-omar-khadr
45,https://www.stripes.com/news/us/ex-gitmo-inmate-gets-apology-millions-from-canada-1.477069
46,http://toronto.ctvnews.ca/federal-government-issues-public-apology-to-omar-khadr-1.3493016
47,http://www.nbcconnecticut.com/news/national-international/Ex-Gitmo-Inmate-Receives-Multimillion-Payment-From-Canada-433053763.html
