,0
0,http://qctimes.com/news/world/asia/ap-global-supermarkets-selling-shrimp-peeled-by-slaves/article_246095ae-e639-5d15-8bb7-b585408ae717.html
1,http://helenair.com/news/world/asia/ap-global-supermarkets-selling-shrimp-peeled-by-slaves/article_9b0a29c5-9704-5720-99a4-2b470bf04b3f.html
2,http://herald-review.com/news/world/asia/ap-global-supermarkets-selling-shrimp-peeled-by-slaves/article_d523eb5a-edf4-5806-8d14-9076552e41dd.html
3,http://www.mymotherlode.com/news/ap-news-details?ID=352b588ec9524304a6dc61ff9bea011e&type=world&subtype=asia
4,http://www.seattlepi.com/news/crime/article/AP-Global-supermarkets-selling-shrimp-peeled-by-6696198.php
5,http://newsok.com/ap-global-supermarkets-selling-shrimp-peeled-by-slaves/article/feed/935197
6,http://news.findlaw.com/apnews/9ee0a45473314bb6aa0cb388c19de2bc
7,http://www.bangkokpost.com/news/general/794021/shrimp-peeled-by-thai-slaves
8,http://abcnews.go.com/International/wireStory/ap-global-supermarkets-selling-shrimp-peeled-slaves-35749754
9,http://www.sfgate.com/news/crime/article/AP-Global-supermarkets-selling-shrimp-peeled-by-6696198.php
10,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-12-14-AS--Seafood%20From%20Slaves-Shrimp%20Sheds/id-352b588ec9524304a6dc61ff9bea011e
11,http://wwlp.com/ap/ap-global-supermarkets-selling-shrimp-peeled-by-slaves/
12,http://www.tribtown.com/view/story/8f64fb25931242a985bc30e3f5a9a0b2/AS--Seafood-From-Slaves-Shrimp-Sheds
13,http://www.dailyjournal.net/view/story/8f64fb25931242a985bc30e3f5a9a0b2/AS--Seafood-From-Slaves-Shrimp-Sheds
14,http://www.bostonherald.com/news/international/2015/12/ap_global_supermarkets_selling_shrimp_peeled_by_slaves
15,http://www.denverpost.com/ci_29247027/ap-global-supermarkets-selling-shrimp-peeled-by-slaves
16,http://townhall.com/news/politics-elections/2015/12/14/ap-global-supermarkets-selling-shrimp-peeled-by-slaves-n2093356
17,http://www.newsradioklbj.com/news/international/ap-global-supermarkets-selling-shrimp-peeled-slaves
18,http://www.newser.com/article/23ff2880661241e1968ec1afdc58608c/ap-slavery-child-labor-tied-to-shrimp-global-supply-chains-including-wal-mart-red-lobster.html
19,http://www.therepublic.com/view/story/8f64fb25931242a985bc30e3f5a9a0b2/AS--Seafood-From-Slaves-Shrimp-Sheds
20,http://news.yahoo.com/ap-global-supermarkets-selling-shrimp-050605163.html
