,0
0,http://www.dailyrepublic.com/usworld/banks-dam-targeted-by-iranian-hackers-us-says-7-charged/
1,http://economictimes.indiatimes.com/news/defence/banks-dam-targeted-by-iranian-hackers-says-us-7-charged/articleshow/51547517.cms
2,http://bsccomment.com/2016/03/25/iranians-charged-for-us-cyberattacks.html
3,http://www.post-gazette.com/news/nation/2016/03/25/Banks-dam-targeted-by-Iranian-hackers-US-says-7-charged/stories/201603250177
4,http://www.kansascity.com/news/business/national-international/article67946377.html
5,http://www.rep-am.com/news/national/947341.txt
6,http://www.newser.com/article/fb6f7770fca84a76b92377de56346c5f/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran.html
7,http://www.seattletimes.com/nation-world/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran/
8,http://www.journal-news.com/ap/ap/top-news/us-indicts-7-hackers-in-effort-to-send-a-message-t/nqr5Z/
9,http://kdhnews.com/news/politics/us-indicts-hackers-in-effort-to-send-a-message-to/article_6d5dbb78-9b6a-5994-8e0b-6a5700076fea.html
10,http://www.newspressnow.com/news/politics/ap/article_00a8678a-b9c9-5441-8cde-7d08e40f825b.html
11,https://www.washingtonpost.com/politics/courts_law/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran/2016/03/25/d0a87b88-f258-11e5-a2a3-d4e9697917d1_story.html
12,http://www.wacotrib.com/news/ap_nation/politics/us-indicts-hackers-in-effort-to-send-a-message-to/article_12663eb1-6451-51a9-9210-ce865964adb7.html
13,http://www.kiro7.com/news/politics/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran/179269635
14,http://www.theblaze.com/the-wire/39136906/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran/
15,http://projects.registerguard.com/apf/dc/us-dam-cyberattack/
16,http://www.sandiegouniontribune.com/news/2016/mar/25/us-indicts-7-hackers-in-effort-to-send-a-message/
17,http://www.fairfieldcitizenonline.com/news/article/US-indicts-7-hackers-in-effort-to-send-a-message-7045294.php
18,http://www.newschannel10.com/story/31563307/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran
19,http://www.denverpost.com/nationworld/ci_29684223/us-indicts-7-hackers-effort-send-message-iran
20,http://www.thepublicopinion.com/news/associated_press/politics/us-indicts-hackers-in-effort-to-send-a-message-to/article_4cdacecd-f604-50f5-aba8-ba0067d43d29.html
21,http://www.washingtontimes.com/news/2016/mar/25/us-indicts-7-hackers-in-effort-to-send-a-message-t/
22,http://www.greenfieldreporter.com/view/story/1db343da098540c1a31b13be032df263/US--Dam-Cyberattack
23,http://www.chillicothenews.com/news/20160325/us-indicts-7-hackers-in-effort-to-send-message-to-iran
24,http://www.arkansasonline.com/news/2016/mar/25/u-s-indicts-iranians-in-bank-cyberattac/
25,http://www.nytimes.com/aponline/2016/03/25/us/politics/ap-us-dam-cyberattack.html
26,http://sungazette.com/page/content.detail/id/656292/7-charged-for-Iran-linked-hacking.html?nav=5011
27,http://www.longisland.com/news/ap-news/us-indicts-7-hackers-effort-send-message-iran-032516.html
28,http://news.yahoo.com/us-indicts-7-hackers-effort-send-message-iran-070846043--politics.html
29,http://www.japantimes.co.jp/news/2016/03/25/business/tech/u-s-charges-seven-iranian-hackers-following-cyberattacks-banks-new-york-state-dam/
30,http://juneauempire.com/nation-and-world/2016-03-25/banks-dam-targeted-iranian-hackers-us-says-7-charged
31,http://mynorthwest.com/178/2939492/US-indicts-7-hackers-in-effort-to-send-a-message-to-Iran
32,http://www.charlotteobserver.com/news/science-technology/article68205667.html
33,http://www.usnews.com/news/politics/articles/2016-03-25/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran
34,http://www.timesfreepress.com/news/national/political/story/2016/mar/25/us-indicts-7-hackers-effort-send-message-iran/357109/
35,http://www.tcpalm.com/news/373526651.xhtml
36,http://www.telegram.com/news/20160325/us-indicts-7-hackers-in-effort-to-send-message-to-iran
37,http://www.startribune.com/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran/373526111/
38,http://wbay.com/ap/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran/
39,http://www.whdh.com/story/31553708/banks-dam-targeted-by-iranian-hackers-us-says-7-charged
40,http://www.dailymail.co.uk/wires/ap/article-3509042/US-indicts-7-hackers-effort-send-message-Iran.html
41,http://news.findlaw.com/apnews/fb6f7770fca84a76b92377de56346c5f
42,http://www.daily-chronicle.com/2016/03/25/u-s-banks-dam-targeted-by-iran-hackers-7-charged/as1hoxb/
43,http://www.theday.com/article/20160324/NWS13/160329461
44,http://newsok.com/article/feed/988400
45,http://www.twincities.com/2016/03/24/banks-dam-targeted-by-iranian-hackers-u-s-says-7-charged/
46,http://timesargus.com/article/20160325/NEWS04/160329757
47,http://news-sentinel.com/news/us-and-world/US-indicts-7-hackers-in-effort-to-send-a-message-to-Iran
48,http://www.newstribune.com/news/2016/mar/24/banks-dam-targeted-iranian-hackers-us-says-7-charg/
49,http://mdjonline.com/view/full_story/27136925/article-Banks--dam-targeted-by-Iranian-hackers--US-says--7-charged-
50,http://lakeplacidnews.com/page/content.detail/id/1128563/Banks--dam-targeted-by-Iranian-hackers--US-says--7-charged.html?isap=1&nav=5069
51,http://www.rep-am.com/news/national/947289.txt
52,http://www.fredericknewspost.com/public/ap/banks-dam-targeted-by-iranian-hackers-us-says-charged/article_c03ff74a-9087-5b78-826f-ab51983d95ad.html
53,http://www.loopjamaica.com/content/us-indicts-7-hackers-effort-send-message-iran
54,http://www.salon.com/2016/03/25/us_indicts_7_hackers_in_effort_to_send_a_message_to_iran/
55,http://www.newdelhitimes.com/banks-dam-targeted-by-iranian-hackers-us-says-7-charged123/
56,http://www.sanmarcosrecord.com/news/us-charges-7-attack-banks-dam
57,http://www.wftv.com/news/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran/179269752
58,http://www.wkbw.com/news/us-news-world/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran
59,http://www.oneidadispatch.com/general-news/20160325/iranian-hackers-targeted-us-banks-new-york-dam-authorities-say
60,http://news.findlaw.com/apnews/3b9b8916afb84fd0a1429ba3e514a5c0
61,http://www.daytondailynews.com/ap/ap/political/us-indicts-7-hackers-in-effort-to-send-a-message-t/nqr5Z/
62,http://www.kttn.com/banks-dam-targeted-by-iranian-hackers-u-s-says-7-charged/
63,http://www.riverbender.com/topnews/details.cfm?id=107698
64,http://www.pekintimes.com/news/20160324/7-hackers-charged-in-iranian-cyberattack-plot-on-us-banks-and-dam
65,http://savannahnow.com/news/2016-03-24/banks-dam-targeted-iranian-hackers-us-says-7-charged-0
66,http://www.dailysabah.com/energy/2016/03/25/turkey-mulls-building-nuclear-plant-with-china-us-1458859372
67,http://www.theday.com/nationworld/20160325/us-indicts-7-hackers-in-effort-to-send-message-to-iran
68,http://gadgets.ndtv.com/internet/news/us-justice-department-indicted-seven-iranian-hackers-for-cyber-crime-817852
69,http://www.therepublic.com/view/story/1db343da098540c1a31b13be032df263/US--Dam-Cyberattack
70,http://kdhnews.com/news/ap/us-indicts-hackers-in-effort-to-send-a-message-to/article_6d5dbb78-9b6a-5994-8e0b-6a5700076fea.html
71,http://www.greenwichtime.com/news/article/AP-Source-US-to-announce-charges-in-dam-7004773.php
72,http://cnsnews.com/news/article/us-indicts-7-hackers-effort-send-message-iran
73,http://amarillo.com/news/2016-03-24/banks-dam-targeted-iranian-hackers-us-says-7-charged
74,http://www.stardem.com/ap/business/article_5e9e75a9-4d11-56aa-89c3-23f4280d62ce.html
75,http://www.timesenterprise.com/news/banks-dam-targeted-by-iranian-hackers-us-says-charged/article_074993b0-f21e-11e5-be11-0bb2b3a40691.html
76,http://www.carmitimes.com/news/20160325/us-indicts-7-hackers-in-effort-to-send-message-to-iran
77,http://www.southernstandard.com/section/59/article/31726/
78,http://wate.com/2016/03/25/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran/
79,http://www.waff.com/story/31563308/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran
80,http://www.smdailyjournal.com/articles/wnews/2016-03-25/banks-dam-targeted-by-iranian-hackers-us-says-seven-charged/1776425160639.html
81,http://tampa.cbslocal.com/2016/03/25/us-indicts-7-hackers-in-effort-to-send-a-message-to-iran/
